DATE,TIME,EVENT,ADDRESS,LOCATION,Latitude,Longitude
8/29/2022,8:29:53 AM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
8/28/2022,3:27:20 PM,FIRE ALARM,337 CHARLES E YOUNG DR E,PUBLIC AFFAIRS BUILDING,34.0741192,-118.4392242
8/27/2022,10:52:26 AM,FIRE ALARM,251 CHARLES E YOUNG DR W,CARNESALE COMMONS,34.072096,-118.4498056
8/27/2022,1:50:35 AM,FIRE ALARM,765 WEYBURN TER,MAGNOLIA COURT,34.0637379,-118.450633
8/25/2022,8:36:09 PM,FIRE ALARM,380 DE NEVE DR,SPROUL LANDING,34.0713431,-118.4497877
8/25/2022,12:17:39 PM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
8/25/2022,10:27:46 AM,FIRE ALARM,417 CHARLES E YOUNG DR W,BRADLEY INTERNATIONAL HALL,34.0696351,-118.4491115
8/25/2022,8:18:22 AM,FIRE ALARM,401 CHARLES E YOUNG DR W,DYKSTRA HALL,34.0700008,-118.4500809
8/24/2022,10:16:02 AM,FIRE ALARM,221 WESTWOOD PZ,ARTHUR ASHE BUILDING,34.0732112,-118.4451017
8/23/2022,1:21:11 PM,FIRE ALARM,607 CHARLES E YOUNG DR E,YOUNG HALL,34.0688448,-118.4412088
8/23/2022,9:41:47 AM,FIRE ALARM,221 WESTWOOD PZ,WOODEN CENTER,34.0732112,-118.4451017
8/22/2022,9:23:13 AM,FIRE ALARM,824 HILGARD AVE,HILGARD APARTMENTS,34.0658062,-118.4396071
8/21/2022,12:50:54 AM,FIRE ALARM,10745 DICKSON PZ,ROYCE HALL,34.0722226,-118.4420203
8/20/2022,8:03:48 PM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
8/20/2022,8:01:41 PM,FIRE ALARM,280 DE NEVE DR,RIEBER VISTA,34.0721256,-118.452112
8/20/2022,7:36:24 PM,FIRE ALARM,10833 LE CONTE AVE,CENTER FOR HEALTH SCIENCES,34.0642829,-118.4423562
8/20/2022,4:32:15 AM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
8/19/2022,8:06:54 PM,FIRE ALARM,715 GAYLEY AVE,GAYLEY COURT,34.0650434,-118.4482387
8/19/2022,10:46:58 AM,FIRE ALARM,240 CHARLES E YOUNG DR N,BROAD ART CENTER,34.075885,-118.4409969
8/18/2022,4:27:06 AM,FIRE ALARM,270 DE NEVE DR,RIEBER TERRACE,34.0726243,-118.4520699
8/18/2022,3:58:49 AM,FIRE ALARM,270 DE NEVE DR,RIEBER TERRACE,34.0726243,-118.4520699
8/17/2022,9:24:28 AM,FIRE ALARM,280 DE NEVE DR,RIEBER VISTA,34.0721256,-118.452112
8/16/2022,7:39:07 PM,FIRE ALARM,280 DE NEVE DR,RIEBER VISTA,34.0721256,-118.452112
8/16/2022,7:47:54 AM,FIRE ALARM,110 WESTWOOD PZ,ANDERSON SCHOOL OF MANAGEMENT,34.0739537,-118.4430523
8/15/2022,6:15:42 PM,FIRE ALARM,280 DE NEVE DR,RIEBER VISTA,34.0721256,-118.452112
8/15/2022,1:35:04 PM,FIRE ALARM,240 CHARLES E YOUNG DR N,BROAD ART CENTER,34.075885,-118.4409969
8/15/2022,6:53:23 AM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
8/14/2022,10:25:47 AM,FIRE ALARM,265 DE NEVE DR,CENTENNIAL HALL,34.0730805,-118.4534607
8/13/2022,1:12:42 PM,FIRE ALARM,610 CHARLES E YOUNG DR E,TERASAKI LIFE SCIENCES BUILDING,34.0685617,-118.4403265
8/13/2022,6:14:50 AM,FIRE ALARM,350 DE NEVE DR,SPROUL HALL,34.0719125,-118.4505357
8/12/2022,1:51:39 PM,FIRE ALARM,520 PORTOLA PZ,MATHEMATICAL SCIENCES BUILDING,34.0695771,-118.4427578
8/12/2022,1:50:18 PM,FIRE ALARM,607 CHARLES E YOUNG DR E,YOUNG HALL,34.0688448,-118.4412088
8/11/2022,6:40:34 AM,FIRE ALARM,350 DE NEVE DR,SPROUL HALL,34.0719125,-118.4505357
8/10/2022,10:39:13 AM,FIRE ALARM,900 WEYBURN PL,TIPUANA,34.0625088,-118.4499425
8/8/2022,8:11:55 AM,FIRE ALARM,430 CHARLES E YOUNG DR W,WASSERMAN FOOTBALL CENTER,34.069298,-118.4475013
8/6/2022,11:02:01 AM,FIRE ALARM,267 DE NEVE DR,OLYMPIC HALL,34.0724676,-118.4537267
8/5/2022,5:09:03 PM,FIRE ALARM,267 DE NEVE DR,OLYMPIC HALL,34.0724676,-118.4537267
8/5/2022,4:06:12 PM,FIRE ALARM,404 WESTWOOD PZ,ENGINEERING 6,34.0697154,-118.4443057
8/5/2022,2:13:50 PM,FIRE ALARM,250 DE NEVE DR,HEDRICK HALL,34.0731836,-118.4523152
8/5/2022,8:37:42 AM,FIRE ALARM,111 EASTON DR,SUNSET CANYON RECREATION CENTER,34.07470,-118.45184
8/5/2022,8:11:30 AM,FIRE ALARM,351 CHARLES E YOUNG DR W,DE NEVE PLAZA,34.0704055,-118.4501706
8/5/2022,3:50:28 AM,FIRE ALARM,401 CHARLES E YOUNG DR W,DYKSTRA HALL,34.0700008,-118.4500809
8/5/2022,12:51:21 AM,FIRE ALARM,760 WESTWOOD PZ,SEMEL INSTITUTE,34.0658571,-118.4448153
8/4/2022,2:45:43 PM,FIRE ALARM,520 PORTOLA PZ,MATHEMATICAL SCIENCES BUILDING,34.0695771,-118.4427578
8/3/2022,4:05:26 PM,FIRE ALARM,502 PORTOLA PZ,FRANZ HALL,34.0696422,-118.4412792
8/3/2022,12:26:01 PM,FIRE ALARM,10833 LE CONTE AVE,CENTER FOR HEALTH SCIENCES,34.0642829,-118.4423562
8/3/2022,11:12:04 AM,FIRE ALARM,10745 DICKSON PZ,ROYCE HALL,34.0722226,-118.4420203
8/3/2022,7:36:23 AM,FIRE ALARM,714 TIVERTON AVE,SCHOOL OF DENTISTRY,34.0660174,-118.4418704
8/3/2022,7:24:21 AM,FIRE ALARM,337 CHARLES E YOUNG DR E,PUBLIC AFFAIRS BUILDING,34.0741192,-118.4392242
8/1/2022,1:23:00 PM,FIRE ALARM,385 CHARLES E YOUNG DR E,SCHOOL OF LAW,34.0729138,-118.4384435
8/1/2022,7:18:44 AM,FIRE ALARM,675 CHARLES E YOUNG DR S,MACDONALD RESEARCH LABORATORY,34.0671114,-118.4439594
7/31/2022,10:44:49 PM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
7/31/2022,9:21:27 AM,FIRE ALARM,520 PORTOLA PZ,MATHEMATICAL SCIENCES BUILDING,34.0695771,-118.4427578
7/30/2022,9:55:08 PM,FIRE ALARM,520 PORTOLA PZ,MATHEMATICAL SCIENCES BUILDING,34.0695771,-118.4427578
7/30/2022,8:44:21 PM,FIRE ALARM,251 CHARLES E YOUNG DR W,CARNESALE COMMONS,34.072096,-118.4498056
7/29/2022,2:22:21 PM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
7/29/2022,12:27:10 AM,FIRE ALARM,100 MEDICAL PZ,MEDICAL PLAZA 100 MANOUKIAN MEDICAL BLDG,34.0654341,-118.4456849
7/28/2022,6:48:29 PM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
7/27/2022,4:08:30 PM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
7/26/2022,11:29:21 PM,FIRE ALARM,611 CHARLES E YOUNG DR E,TERASAKI LIFE SCIENCES BUILDING,34.0685617,-118.4403265
7/22/2022,8:58:04 PM,FIRE ALARM,612 CHARLES E YOUNG DR E,TERASAKI LIFE SCIENCES BUILDING,34.0685617,-118.4403265
7/22/2022,7:36:22 AM,FIRE ALARM,300 MEDICAL PZ,GOLDBERG MEDICAL BLDG,34.0644164,-118.4460531
7/21/2022,4:04:56 PM,FIRE ALARM,250 DE NEVE DR,HEDRICK HALL,34.0731836,-118.4523152
7/21/2022,12:16:14 PM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
7/20/2022,3:15:35 PM,FIRE ALARM,240 CHARLES E YOUNG DR N,BROAD ART CENTER,34.075885,-118.4409969
7/20/2022,11:59:30 AM,FIRE ALARM,241 CHARLES E YOUNG DR N,BROAD ART CENTER,34.075885,-118.4409969
7/20/2022,11:19:15 AM,FIRE ALARM,10995 LE CONTE AVE,GAYLEY HEIGHTS APARTMENTS,34.0638872,-118.4486342
7/18/2022,9:08:13 PM,FIRE ALARM,200 MEDICAL PZ,MEDICAL PLAZA 200 PETER MORTON BUILDING,34.0649762,-118.4456739
7/18/2022,12:45:31 PM,FIRE ALARM,520 PORTOLA PZ,MATHEMATICAL SCIENCES BUILDING,34.0695771,-118.4427578
7/18/2022,12:18:33 PM,FIRE ALARM,250 DE NEVE DR,HEDRICK HALL,34.0731836,-118.4523152
7/18/2022,2:54:35 AM,FIRE ALARM,10740 DICKSON CT,POWELL LIBRARY,34.0716126,-118.4421809
7/17/2022,12:57:52 AM,FIRE ALARM,221 WESTWOOD PZ,WOODEN CENTER,34.0732112,-118.4451017
7/15/2022,11:56:07 PM,FIRE ALARM,267 DE NEVE DR,OLYMPIC HALL,34.0724676,-118.4537267
7/12/2022,6:36:03 PM,FIRE ALARM,385 CHARLES E YOUNG DR E,SCHOOL OF LAW,34.0729138,-118.4384435
7/12/2022,1:26:11 PM,FIRE ALARM,250 DE NEVE DR,HEDRICK HALL,34.0731836,-118.4523152
7/12/2022,1:07:44 PM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
7/12/2022,10:37:41 AM,FIRE ALARM,910 WEYBURN PL,PALO VERDE,34.0628349,-118.4505162
7/10/2022,10:21:47 PM,FIRE ALARM,420 WESTWOOD PZ,ENGINEERING 4,34.0687997,-118.4440275
